n,r,network_nr,network,gene_tree
160,15,14,"((#M,(((((((t79,t52),t66),(((((((t37,((t155,((t98)#L,t64)),t16)),(#E,(t60,t104))),(t146)#K),((t145,t140),(((t59,t118),t153),(t57,t127)))),(((t122,((((t51,t65),t144),t154),t137)),(#D,(((t68,t135),(t72,(t28,t92))),t46))),((t88,(t47)#N),((t3,t8),(t71,(t116)#M))))),((((t35,t86),t147),t44),((t7,t105),(t112,t99)))),(t125,(#B,t110)))),((t95,(t156,((t82,t121),(t101,(t38,(t63,t102)))))),(((t115,((t27,(t33,t111)),(((t11,(t97,t157)),t80),((t70,t18),(t49,(#C,(t123,t69))))))),t91),t13))),(((t158,t17),t136),(#F,((t5,t53),(((t124,t81),(#K,(t30,t106))),((t42,((t36,(t10)#I),t128)))#A))))),((t83,t131),(#N,(((t151,t113),((((t74,t107),t1),(#O,t149)),((t39,t76),(t6)#F))),((t96,((t90,t108),t61)),((t152,(((t31,t129),t67))#G),(t134,t120))))))),((((t93,(((t43,t9),(t130,t21)),((t160,((t73,((#I,t89))#O),t48)),(((t4,t77),(t126,t45)),((t26,(t24,(((t109,((t143,t141))#D),(t103)#B),t58))),(t55,t62)))))),(t25)#H),((t75,(t85,((t40,t22),t56))),(((#G,(t84,(t19)#J)),(((t100,t87),t34))#E),t54))),(t117,t142)))),(#L,(#A,(((t29,(t139,(t119,t50))),t132),((((t94,(t148,((t114,t133),t23))),(#H,(t15,((t14,t150),(#J,(t12,t2)))))),t138),(((t20,(t78)#C),t159),(t41,t32)))))))","((((t132,(t29,((t50,t119),t139))),(t42,((t36,t128),t128))),(((((t138,t159),(t41,t32)),((t94,(t23,(t133,t114))),t148)),((((t14,t150),t15),(t2,t12)),t19)),t20)),((t142,t117),((((t54,(((t100,t87),t34),((t129,(t67,t84)),t31))),((t75,t56),t85)),(((((t130,(t21,(t9,t43))),((((t48,((t10,t89),t73)),t160),(t26,(((t24,t58),t109),(t62,t55)))),((t4,t77),(t45,t126)))),((((t130,t43),t21),t9),((((t26,(t55,t62)),((t109,t58),t24)),((t4,t77),(t126,t45))),((t48,(t73,(t89,t10))),t160)))),t93),t25)),((((t5,t53),(t30,t106)),t6),(((((t156,t95),((t63,(t102,(t101,t38))),(t82,t121))),t13),((((t27,(t111,t33)),((((((t97,t157),t80),t11),((t69,t123),(t70,t18))),t49),t78)),t115),t91)),(((t83,((t120,t134),((t134,t120),t152))),(((t76,t39),(((t1,t107),t74),t149)),(t151,t113))),((t125,(t103,t110)),((((t44,((t35,t86),t147)),(((t105,t7),(t112,t99)),((t105,t7),(t112,t99)))),((((((t16,((t98,t64),t155)),(t104,t60)),t37),(t145,((t57,t127),(t153,(t118,t59))))),((((((t46,t68),t135),(t72,t92)),(t143,(t143,t141))),t28),((t137,(t154,(t51,(t65,t144)))),t122))),(t3,(t8,(((t71,t116),(t71,t116)),(t47,t88)))))),(((t158,t17),t136),((t79,t52),t66))))))))))"
160,15,15,"(((((((t159,t44),((t76,t154),((t75,t92),t48))),t128),(((t123,(t116,((t3,t136),t15))),((((t79,(t125)#O),((t133,t142),(t30,t160))),t90))#H),t24)),(((((t115,t69),(t84,(t36,t6))),(((t29,(t9)#L),(t143,t57)),t135)),t112),((((((t39,t2),t105),(t97,t139)),((t56,((t150,t134),((t18,((#G,(t94,t141)))#F),((t19,(t155,t55)),(#L,t68))))),(t119,(t93)#K))),((t35,t64),((t83,t43),(t147,t34)))),(((t103,((t106,t45))#E),(t72,t144)),t33)))),(t152,((t130,(t61,t20)),(t63,t40)))),(((((t145,(#J,((((((t80,(t77,(#N,(t38,(t49)#C)))),(t42,(t37,t41))),(#K,(#M,(#I,((t131,(t98)#B),(t120,(t59,(t23)#J))))))),((t156,t140),(t13,t102))),(((t95,(t157,(t25,t58))),((t21,t71),t66)),(#H,((t91,(((t73,(((t110,t118),t117),(t85,(t32,t74)))),(t1,t137)),(t82,((t107,t146))#N))),(t17,((t100,t113),t138)))))),(t122,(t62,t127))))),(#A,((((t149,t50),((t5,(t7,t111)))#D),t53),(((((t108,t153),(t101,t87)),t54),((t51,t28),((#O,(t31,(t96,(t14,t89)))))#A)),((t16,t104),(((((t148,t126),(t151,(t10,t109))),(#C,t86)),(#B,t60)))#I))))),(((t46,((t114,(#F,(t78,((t121,t47),t99)))),(#E,(t4,((t27,t52))#M)))),((t22,(#D,(t67,t8))),t26)),(t81,t132))),t11),(t65,(((t124,((t158,t129))#G),t70),(t12,t88)))))","((((((((((t29,(t143,t57)),t29),(t135,t135)),((t84,(t36,t6)),(t115,t69))),t112),(((t33,(t103,(t72,t144))),(t33,(t103,(t72,t144)))),((((t147,t34),(t83,t43)),(t35,t64)),((((t2,(t39,t105)),(t97,t139)),(t119,t93)),(((((t55,t19),t155),(((t129,t158),(t141,t94)),t18)),(t68,t9)),(t150,t134)))))),(((((t154,t76),((t92,t75),t48)),(t44,t159)),t128),(t24,((t15,(t136,t3)),t116)))),t152),((t40,t63),((t20,t61),t130))),(t65,((((t81,t81),((t132,((t46,((t4,(((t99,(t121,t47)),t78),t114)),((t78,((t47,t121),t99)),t114))),(t106,t45))),((((t67,t8),t26),t22),(t5,(t7,t111))))),t11),(((((t16,t104),(((t148,t126),((t109,t10),t151)),t60)),((t28,t51),(t54,((t101,t87),(t108,t153))))),((((t89,t14),t96),t31),(((t89,t14),t96),t31))),(t145,(((t62,t127),t122),((((t102,t13),(t140,t156)),(((t37,t41),((t77,t38),t80)),((t52,t27),(((t59,t23),t120),(t131,t98))))),(((t90,(((t30,t160),(t142,t133)),(t79,t125))),((((t21,t71),t66),t95),((t157,t157),(t25,t58)))),(t91,((((t100,t113),t138),t17),((t137,t1),(t73,(((t85,(t74,t32)),((t110,(t118,t118)),t117)),((t107,t146),t82))))))))))))))"
160,15,16,"((((((#L,t47),(t154)#A),(t109,(t77,t79))),t107),((((((((t18,t148),((t34,(t94)#C),(t121)#I)),((t3,t10),(t64,t155))),(t140,(t96,(t90,t31)))),(t71,t82)),((((t28,t29),(t43)#H),t37),(t72,(t40,t138)))),(((t119,t91),((((((t70,(t130)#O),(t26)#B),t143),((((t99,t23),(#N,(t54,t118))),(t100)#D),(#O,(t88,(t57,t27))))),(t11,t80)),(t124,((t20,t41),#E)))),((t2,(t144,t45)),t113))),(((t102,(((t33,(t150)#N),(t106,t69)),(t93,t42))),((t98,t32),((t21,t134),(t157,((t63,t101),t16))))),((((t48,t46),t22),((t19,(t129,t73)))#J),(((((t78,t95),(t49)#M),(((t160,t81),t53),t67)),(t60,(#J,(t44,(#H,(t89,t6)))))),(#C,t122)))))),(((t75,(t87,((((t61,t116),(#K,(t149,t105))),t125),(((t137,t104),(t156,(t25,t108))),((((t86,t15),t52),t59),(#A,t39)))))),(t1,(#F,t103))),(((((t62,t159))#L,t38),((t117,((t111,t12),((t146,t4),(t152,(((t112,t7),(t136)#E),(t135,t123)))))),(((t56,((t110,(t76)#F),t51)),(#G,(((t83,t65),(t126,t120)),((t133,(t9)#K),t131)))),(t115,(t128,t141))))),(#I,(((t142,t127),((t132,t50),((t85,t74),t35))),(#M,((((t55,t8),(t5,t139)),((t92,t24),((((((t153,t151),t30),((t114,((#D,(t97,(#B,t13))))#G),t58)),t66),((t68,t84),(t145,t36))),(t17,t158)))),(t147,t14))))))))","((((((((t71,t82),(t140,((((t64,t155),(t3,t10)),(t148,t18)),(t34,t121)))),(((t29,t28),t37),((((t40,t138),t138),t40),t72))),(t113,(t2,(t144,t45)))),((t124,(t20,t41)),(t11,(t80,(((t130,((t57,t27),t88)),((t54,t118),(t99,t23))),(t70,t143)))))),((((((((t60,(t89,t6)),t43),t44),(((t81,t160),t53),(t67,(t78,t95)))),t94),t122),(((t22,(t48,t46)),((t46,t48),t22)),(t19,(t129,t73)))),((((t42,t93),(t69,(t106,(t150,t33)))),t102),(((t21,t134),((t16,(t63,t101)),t157)),(t32,t98))))),(t107,((t79,(t77,t109)),t47))),((t49,((((t142,(t127,t127)),(((t35,t35),(t132,t50)),(t74,t85))),(((t62,t159),t38),(((t115,(t128,t141)),((((t120,t126),(t65,t83)),(t131,(t9,t133))),((t110,t51),t56))),(t117,((t12,t111),((t152,((t123,t135),((t7,t112),t136))),(t4,t146))))))),((t139,t5),(((t8,(t55,t55)),(t147,t14)),(((t24,t92),(((t84,t68),(t145,t36)),((((t151,t153),t30),(t114,((t100,(t97,(t13,t26))),t58))),t66))),(t158,t17)))))),((t75,(t87,((t125,((t61,t116),(t105,t149))),(((t59,((t15,t86),t52)),(t39,(t154,t154))),((t104,t137),(t156,(t108,t25))))))),(t1,(t76,t103)))))"
160,15,17,"((((((((t116,t67),(t79)#I),(t60,(#E,(t22,(t110,t48))))),((t104,(#K,(#A,(t117,(t148,t71))))),(t126,(t45,t5)))),((t36,t105),(((((t141,(#C,(t23,t95))),t153),(((t75,(t81,t64)),((t155,t129),((t2,t130),t93))),(((t154,(t89,t56)),(t65,(#F,t99))),t61))),(t127,(t91,(t96,t20)))))#D)),(((t73,t150),(#D,(#H,(((t31,(t32,t68)),(((t88,((t55,t63))#C),(t33)#F),t144)),((t11,(((t52,t30),t25),((t41,t29))#A)),((t119,t112),(t54,t143))))))),t133)),((((t86,(t80)#L),(#L,(t26,t9))),(t113,(((t142,(t98)#M),t147),t46))),(((((t15,((t34,t83),(#J,t87))),(t51,(t37)#N)),t57),((t10,((t21,t19),((t58,t35),t156))),#O)),((((t53,(#M,(t50,t49))),((t108,(((t146,t40),(t101)#J))#K),t120)),(t134,t132)),(#G,(t69,t92)))))),(((((t4,(t152)#E),(t85,t157)),(((t97,t84),t160),(t38,t8))),(((((t24,(t78,t14)),t82),((t122,(t109,(t3,t151))),t118)),((t124,t77),((t90,(t62,t137)),(t123,t47)))),((t13,t135),(t139,(t1,(t72,(t136,t103))))))),(((((t159,(t27)#B),(t6,t140)),((t16,t42),(((t59,t158),((t115,t7))#H),(t131,(t74)#G)))),((t128,(((t149,t18),(#I,(t106,t66))),(t125,(t28,t114)))),((t107,t70),t100))),(((#N,((t12,t43),(t76,(((t39,t138),(t94,t102)),t17)))),(#B,t44)),((t145,t111),(t121)#O)))))","((((((t36,t105),((t45,t5),(((t104,t104),((t71,t148),(t101,(t40,t146)))),t117))),((t67,t116),(((t48,t110),t22),t60))),(t133,(((((t141,(t95,t23)),(((((t56,t89),t154),(t65,(t33,t99))),t61),((t129,((t2,t130),t93)),(t75,(t81,t64))))),((t91,(t96,t20)),t127)),((((t119,t112),(t143,t54)),(t11,(((t52,t25),t30),(t41,t29)))),((t144,(t88,(t55,t63))),((t68,t32),t31)))),(t73,t150)))),(((t69,t92),((((t19,t21),(t156,(t35,t58))),(t10,((t57,(t37,t51)),(((t34,t87),t83),t15)))),(((t98,t108),(t134,t132)),t120))),(((t26,t9),(t80,t86)),(t113,((t142,t147),t46))))),(((((((((t77,t124),(t124,t77)),(((t137,t62),t90),(t47,t123))),(t82,(t24,(t78,t14)))),((t118,t118),t122)),(((t103,t72),t139),t1)),(t135,t13)),(((t4,t152),(t85,t157)),((t160,(t97,t84)),t8))),((((t43,t12),((t76,(((t102,t94),(t138,t39)),t17)),(t27,t44))),(t121,(t145,t111))),((t128,(((t18,(t149,(t149,t18))),(t79,(t106,t66))),((t114,t28),t125))),((t100,(t70,t107)),((t42,t16),(((t159,(t6,t140)),(t140,t6)),((t131,t74),((t7,t115),(t59,t158))))))))))"
160,15,18,"(((((t16,(((t71,(t51)#M),(t64,t44)),((((((t49,t31),(t81)#K),(t35,t154)),t1),t69),(t37)#N))),((((t65,(#K,(t6,t85))),(((t26,t60),(t83,(t15,t144))),t80)),(t66,(#A,t33))),(((t146,(t22)#E),((t120,t9),t96)),((t103,t127),t102)))),((((t21,t52),t121),(#L,(((((t156,t92),t29),(t54,t5)),t88),(t150,((t70,((t104,(t7,t62)))#C),(t91,((t97,(t116,t118)))#I)))))),(((t158,(t95)#G),t147),(t46,(t129)#D)))),((((((t112,t59),(t41,(#D,((t75,t151),(t157)#L)))),((t30,t131),(((((t123,(t53)#F),((t138,(#O,((t133,t13),t11))),(#E,t111))),(((((t99,(t117,t141)),t100),t106),t25),t89)),(((t119,(t153)#B),(((t82,t45),(t68,t136)),(((t78,t109),t20),((t8,t105),t74)))),(#H,t84))),((t61,(#C,t115)),((t27,(t160,t149)))#H)))),(#B,(t77,(#I,((t137,(t101,t114)),(t128,(t134)#O)))))),(((((t2,t125),(#N,(t57,((t3,t23),(t32,(t145,t140)))))),(t124,t38)),(#J,(t67,t76))),(#G,(((t4,t86),((((t39,t142),t28),(t93,(t55,(t135,t98)))),t40)),t126)))),(t143,(#M,((t155,((t43,(t139,t159)),t17)),((t110,(t56,(t12,t10))),(#F,(t47,((t87,t63),(t94)#J))))))))),((((t19,(t34,t90)),(((t148,t42),t14),((t122,t36),t79))),((((t113,t58),t152),t132),(((t72,t50),t130),(t48,(t73,t24))))),(t108,((t18,t107))#A)))","((((((t73,(t24,t48)),(t130,(t72,t50))),(t132,((t113,t58),t152))),((((t122,t36),t79),(t14,(t42,t148))),(t19,(t34,t90)))),(t18,t107)),((((((t71,t51),(t64,t44)),(t37,((((t1,t35),((t49,t31),t81)),t154),t69))),((((t103,t102),t127),((t146,t22),((t120,t9),t96))),((t66,t33),((t26,((t144,t15),t83)),t80)))),(((((((t29,(t92,t156)),(t54,t5)),((t95,t158),t147)),((t121,(t52,t21)),t46)),((((t97,(t118,t116)),t91),t70),t150)),t88),t157)),((t126,((t86,t4),(t40,((t93,(t55,(t135,t98))),((t142,t39),t28))))),((((t124,t38),((t57,(((t145,t140),t32),(t3,t23))),(t125,t2))),(t67,t76)),((t143,((t155,((t43,(t139,t159)),t17)),((((t12,t56),t10),t110),(((t63,t87),t94),(t47,t47))))),((((((((t53,t123),t111),((t134,(t11,(t13,t133))),t138)),t89),((t106,(t100,((t141,t99),t117))),t25)),(((t27,(t160,t149)),(t84,(t149,t27))),(((((t45,t82),t68),t136),((t74,(t8,t105)),((t109,t78),t20))),(t119,t153)))),(((t115,(t104,(t7,t62))),(t61,t61)),t30)),(t128,(t77,((((t151,t75),t129),t41),(t59,(t112,t112)))))))))))"
160,15,19,"((((((((t139,(#A,(((t52,t159),(#J,((t31,t115),t95))),(((t13,t146),(t127,(t119,t69))))#I))),t38),(((t101,t14),t61),(#I,(((t37,t145),(t62,(t125,t56))),(((t151,t5),t114),((((t85,t24),(t74,t64)),(t42,(t144,t12))),t121)))))),((#L,(((t87,((t153,t53))#D),(((t132,((t128,t49),(((t23,t25),(t17,(t143)#B)),(t129)#K))),(((t126,(((t77,t152),(t8,(t45)#N)),t41)),t105),(#M,t147))),t81)),(((t116,t27),(#F,(t21,t138))),(#G,(((t122,t10),(t15)#M),((t113,(((t76,t71),((t98,t108),((t158,t40),t51))),t123)),((t34,t89),(t26,t112)))))))),(#C,((((t148,t84),t90),(t60,t133)),((t35,t58),(#E,(t99,t155))))))),(((((t96,(#K,t78)),(t9)#H),(t80,(t63,(t2)#O))),(((t46,t68),((t103,t44))#A),(t33,t131))),(t18,(t111,t102)))),(#H,((((t106,(t92)#C),(t118,(t28,((t22,t160),t130)))),((t83,((t79,t30),t134)),((t32,(t135,t82)),t47))),(((t157,(t88)#G),(t109,t48)),((t142,t55),t66))))),(t136,(#O,t20))),((((((t29,(#N,t100)),(t150,(t7)#F)),((t16,(t43,t11)),t117)),t3),(#B,((((t97,(((t107,t19),t1),((t54,t120))#J)),(t72,t93)),((t39,t141),(t4,(t156,((#D,t75))#E)))),((t70,t140),(t67,t65))))),((t154,(t91,(t110,(t50,t57)))),((t6,(t137)#L),((((t149,t124),t86),((t104,t36),t73)),(t59,t94))))))","(((((t3,(((t29,t29),t150),t100)),((t43,t11),t16)),t117),((((((t141,t39),(((t156,t75),(t153,t53)),t4)),((t140,t70),(t65,t67))),((t93,t72),(t97,((t120,t54),(t1,(t107,t19)))))),t143),((t154,((((t57,t50),t91),(t57,t50)),t110)),((((t73,(t104,t36)),((t149,t124),t86)),(t94,t59)),(t6,t137))))),(((((((t68,t46),(t33,t131)),(t96,t78)),((t111,t102),t18)),(((((((t146,t13),(t127,(t119,t69))),((t121,(((t85,t24),(t74,t64)),(t42,(t144,t12)))),((t5,t151),t114))),(((t125,t62),t56),(t145,t37))),((t38,(((t52,t159),(t103,t44)),(t31,t115))),t139)),((t101,t14),((t14,t101),t61))),((((t84,t148),(t60,t133)),(t99,t155)),(((((t7,(t21,t138)),t27),t116),((t88,(t122,t10)),((((t34,t89),(t112,t26)),(t123,((t51,(t40,t158)),(t98,t108)))),t113))),(t87,(((t128,t49),(t129,(t17,(t25,t23)))),(((t15,t147),t132),(t81,(((((t8,t45),(t77,t152)),t41),(t126,(t41,((t8,t45),(t152,t77))))),t105))))))))),((((((t22,t160),t130),t28),t118),(t106,t92)),(((t83,((t30,t79),t134)),(t47,(t32,(t135,t82)))),(((t48,t109),t157),(t66,(t55,t142)))))),((t136,t20),t2)))"
160,15,20,"(((((((((((t105,t24),((t80,t103),(t25,t32))),t117),(t72,(t112,(t62,(t96)#O)))),(t10,t129)),((((t67,t15),t7),((t113,t151),(((t3,(t107,(t66,(t50)#G))),(t94,((t4,t26),t98))),(t119)#I))),(#B,(#O,((t47,(t141,t40)),t137))))),(t79,t144)),((((((t36,t33),t133),t136),(t20,t57)),(t55,(t88)#F)),(t2,t12))),(((t115,(t43,t46)),((t154,(t150,t1)),((t30,(#G,((t75,(t16,t54)),((t84,t104),((t38,t35),(t48)#K))))))#B)),(#C,((((((t158,(t106,(t78,t102))),t101),t49),(t155,t122)),t92),((t73,((t125,(t63,t90)),t6)),(((t128,t118),(t160,(t157,t114))),(t28,t93))))))),(#H,(((t99,t71),(t74,t124)),(t37,t65)))),((t86,t95),((((t152,t123),((((t22,t53),(t29,(#A,((t132,t89),(t8,t70))))),((t148,t39))#E),(((t64,(t131)#L),((t138,t5),t156)),t134))),((t51,((t9,t44),(#K,t59))),t130)),((#N,t116),(#J,(((((t52,((t81,t149))#H),(t31,t85)),((#I,(#D,(t91,((t127,((t76,t153),t19)),t111)))),(#F,(((t11,t68),t146),((t14,t143),((((t126,t135),(((t159,t108),(t56)#M),t60)),(t21,t110)),(t58,t82))))))),((t83,(t121,t109)),t100)),((t140,(t13,(t139)#D)),((t23,(#E,((t41,t97),t145))),((((t69,(((((t45,t42))#N,(#M,t61)),t142),(#L,(t34,(t27)#C)))),t18),((t17,t77))#A),(t87,((t147,t120))#J))))))))))","((t86,t95),((((t55,t88),((t57,t20),((t136,(t133,t33)),t36))),(t12,t2)),(((((t37,t65),((t99,t71),(t124,t74))),((t124,t74),(t99,t71))),(t37,t65)),(((((t46,t43),t115),((((t27,((t155,t122),t49)),(t158,((t106,(t78,t102)),t101))),((t73,(t6,(t125,(t63,t90)))),(((t93,t28),(t128,t118)),((t160,t157),t114)))),t92)),((((t27,t92),(((t150,t150),t1),t154)),(t115,t43)),((((t160,t114),t157),(((t118,t128),t28),t93)),((t122,t155),(t49,(((t102,((t78,t101),t158)),(((t158,t106),t101),(t78,t102))),t106)))))),(t79,(((t10,t129),((((t117,(((t80,t103),t25),t32)),(t24,t105)),((((t80,(t32,t25)),(t105,t24)),t117),t103)),((t112,t72),t62))),(((((((((((t26,t98),t4),(t94,(t3,((t107,t66),t50)))),t119),(t7,(t67,t15))),(t113,t151)),t96),(t47,(t141,t40))),t30),(t137,t137)),(((t75,(t16,t54)),(t38,t35)),(t84,t104)))))))))"
160,15,21,"(((((t103,t52),(((t73,t36),t10))#L),(((((t102,t69),(#L,(t72,(t138)#F))),(((t31,t97),(#K,(t13,(((t2,(t64)#O),(t32,t58)),t29)))),(t133,t126))),(t68,t115)),(((t11,t63),(t53,(t87,t109))),((#N,t78),(t51)#D)))),(#I,((((t18,(t77,(t6,t3))),(t49,t71)),(((t34,(((t88,t94),(t70,((t111,t144),(t35,(t159,t28))))),((t67,t112),((t150,t48),t145)))),(#J,(#G,((((t91,t117),(t76,t85)),(t105,(t134,((t8,t128),t122)))),(#D,t27))))),(#O,(((t24,(t143,(t9)#N)),((t147,t92),t1)),((t82,t157),t12))))),(#F,(((((((t114,t83),t96),((t116,t5))#C),(t158,(t30,(t56,t15)))),((t104,t124),(((t20,(t120,(t136,t54))),((t151)#I,(#A,((t14,(t50,t139)),(t123,t66))))),(t4,(t65,t37))))),(#B,(((((((((t61,(t38,(t129)#G)),t137),(t152,t108)),(((((t154,((t7,t106),t84)),(t146,(t39)#J)),t41),((t141,t19),((t119,(t153,t40)),t22))),(t16,(t62)#K))),(t60,((t17,t44),t46))),(((((t156,t99),t101),(t86)#E),(((t25,t140),t57),t135)),t93)),(t42,t45)),(((t59,(#M,t149)),t89),(((t55,(t131,t23)),t90))#B)),((t121,((#H,t74))#M),(t155,t100))))),((t130,(t110,(((t118,t127),((t113,t142))#A),(((t79,t80),t26),t81)))),(#C,(#E,((t95,t148),((t107,(((t132,t125),(t98,t75)),(t33,t47))),t21)))))))))),(t43,(t160)#H))","(t43,(((((((t52,t103),(((((t78,((t72,((t73,t36),t10)),(t72,((t36,t73),t10)))),((t87,t109),(t11,t63))),(t62,((t31,t97),(t29,((t32,t58),(t2,t64)))))),(t126,t133)),((t68,t115),(t102,t69)))),((((t87,t109),t53),(t11,t63)),t78)),t138),((((t12,(t82,t157)),(t34,((((t88,t94),(t94,t88)),(t70,((t111,t144),(((t159,t159),t28),t35)))),((t67,t112),(t145,(t48,t150)))))),(t39,(((t51,t27),((t105,((t128,(t8,t122)),t134)),(((t85,t76),t91),t117))),t129))),((t18,((t3,t6),t77)),((t71,t49),(t49,t71))))),((((t130,t110),(t110,(t127,t118))),(t81,((t79,t80),t26))),(t86,(t5,t116)))),((((t158,((t56,t15),t30)),((t83,t114),t96)),((((t4,t4),(t65,t37)),(((((t123,t66),(((t139,t50),t142),t113)),t14),((t20,(t120,(t54,t136))),(t20,(t120,(t54,t136))))),t151)),(t104,t124))),(((t155,t100),t121),(((((t149,(t160,t74)),t59),t89),(t90,((t131,t23),t55))),((t93,((((t25,t140),t57),t135),((t156,t99),t101))),((t16,t16),((((t60,(t17,(t44,t44))),t46),(t41,(((t84,t154),t7),t146))),(((((t38,t61),t137),t152),t108),((t141,(t22,((t153,t40),t119))),t19))))))))))"
160,15,22,"(((((t126,((t20,t87),(((t93)#H,((t134,t7),t108)))#F)),((((((t33,(t92,t140)),t97),(t78,t153)),(t160,t159)))#C,((((((t113,t28),(t2)#B),t141),(t95,t144)),(t150,(((t139,t120),(t88,t152)),t62))),(#B,(t105,(t32,t82)))))),((t30,(((t106,(t143,t11)),(t111,t59)),(((t47,t91),((t96,(t74)#J),t44)),(t128,t40)))),(#C,(((t71,(((t64,t4),(t69,t68)))#G),((((((((t138,t75),(t50,t154)),t103),(t117)#E),(((t119,((t26,t76),(#O,((t104,t85),#K)))),(t133,((t27,(t73,(t157)#A)),t48))),t6)),(t41,t137)),(t114,t10)),(t121,t42))),((t146,(#F,t83)),((t158,t129),(t81,(#L,((t46,t17),(t72)#K))))))))),((((((t125,t86),((t122,(t52,t19)),t135)),(t136,(t21)#D)),(t98,((t112,(t61,t16)),t58))),((t148,((t151,t29),(t115,t155))),t43)),((#G,t12),(#A,(#N,(((t60,(#M,(t90,t53))),(#J,(t84,t9))),((t63,((t110,(((t13,t145),(t132,(t79,(t24)#L))),(t3,t22))),((t34)#O,(t18,t35)))),(((t56,t102),t65),(t67,(t130,(t156,t25))))))))))),((((t131,t8),((t124,t89),(t31,(((t127,t36),(t142,(t149)#M)),t51)))),(t147,(t54)#I)),(((((t123,t37),((t100,t101),(t49,t116))),t45),((t70,(t38,t99)),(#D,(t109,t80)))),((((((t107,(((t57)#N,t39),t77)),t55),(#E,t15)),((t66,t23),#H)),t5),(t14,(#I,(t1,(t118,t94))))))))","(((t147,((((t51,((t149,(t127,t36)),t142)),t31),(t89,t124)),t131)),(((((t116,t49),(t100,t101)),((t37,t123),t45)),((t80,t109),((t99,t70),t38))),((((t107,((t39,t77),t55)),(t117,(t15,t15))),(t23,t66)),(((t54,(t1,t1)),(t118,t94)),t14)))),(((((t12,(t74,((t9,t84),((t53,t90),t60)))),((t63,(((t18,t35),t34),(t110,(t79,(t132,((t13,t145),(t3,t22))))))),((t67,((t25,t156),t130)),t65))),t57),((((t150,(t62,(t88,(t152,(t139,t120))))),(t144,(t141,(t113,t28)))),(((t105,t32),t82),t2)),((t87,t20),t126))),(((((t112,(t61,t16)),t58),(((t125,t86),(t135,(t122,(t52,t19)))),(t21,t136))),t43),((((t59,t111),((t143,t11),t106)),(((t128,t40),t30),(t96,t44))),((((((((t7,t134),t108),t83),t146),t93),((t158,t129),(t81,(((t17,t46),t72),t24)))),((t121,t42),((((((t103,((t75,t138),(t50,t154))),((((t119,t133),(((t104,t76),t85),t26)),(((t73,t157),t48),t27)),(t10,t114))),t6),(t137,(t41,t41))),(((t64,t4),(t69,t68)),t71)),t6))),(((t78,t153),(((t92,t140),t33),t97)),(t160,t159)))))))"
160,15,23,"(((((t129,t42),(t148,t56)),(t28,t39)),(((t126,((t27,t64),t113)),t145),(#M,t127))),(#N,(((((((t160,t85),(t131,t40)),t82),((((t62,(t18,t24)),t125),t84),t128)),(t36,(((t60,t63),t146))#B)),t121),(#A,((((((((t59,(t26,t57)),(t51,t101)),(t73,((t144,t97),t136))),(#E,(t104,(t154,t52)))),((((t54,t141),t88),(t49,t117)),t78)),(((((t69,t9),((t150,(t1)#A),t102)),(t138,t130)),(t90,(((t109,(#K,t14)),((((t83,t139),(t123)#N),((((t86,(t105)#K),t30),t33),(t77)#E)),((t142,((t81,(t99,t111)),((t140,(t23,t112)))#I)),((((t137,t4),t48),t25),t118)))),((t10,t50),((t80,t5),t71))))),((t158,t61),(t67,((((t103,(t155)#L),t6),t16),((((t31,t94),(t92,(t70)#F)),t157))#D))))),(((((t120,(t95,t106)),((t21,((t32,t3))#O),t108)),((t15,t122),(t12,t135))),((t89,t79),(t47,((t107,t35),((t68,t153),t43))))),(#F,(((t2,t116),(((#H,t66),(#B,(t75,(t17,t115)))),t76)),((t132,((t133,t46))#J),(((t19,t119),(t38,t96)))#G))))),(((t156,t114),t20),((#L,(((t72,t87),(((t74,(t22)#M),(#D,((((t93,t53),(t98,(t7,t29))),((t55,(t65)#H),(t151,(#C,((t34,t41),t159))))),(#I,(t124,(((t11,(t45,t8)),t100),t149)))))),(#J,t147))),#O)),(#G,(((t13,((t44,(t143,(t152)#C)),t37)),t91),(t110,(t58,t134)))))))))))","((((t28,t39),(((t42,t42),t129),(t56,t148))),((((t64,t27),t113),t126),t145)),((((((((((t147,t3),((t157,(t94,t31)),(((t124,t124),(t149,((t11,(t45,t8)),t100))),((t93,t53),(((t65,t55),(t65,t55)),(((t152,t159),t151),(t34,t41))))))),((t74,t22),(t74,t22))),(((t37,(t44,t143)),t91),((t119,t19),(t96,t38)))),((t110,(t58,t134)),(t20,(t114,t156)))),(t87,t72)),(((((t60,t63),t146),t36),(((t82,(t40,t131)),(t85,t160)),(((((t125,t125),t84),(t24,t18)),t62),t128))),t121)),((((t61,((t16,(t103,t6)),t67)),(((t90,t90),(t109,(t105,t14))),((t50,((t5,t80),t71)),t10))),((((t69,t9),((t1,t150),(t102,t102))),t130),t138)),(((t78,((t49,t117),((t54,t141),t88))),(((t26,t57),(t51,t101)),((t154,t52),t104))),((t144,t97),t136)))),(((((t133,t46),t132),t70),(((t116,t2),(t2,t116)),(((t66,t17),t115),t75))),(((((t21,t108),(t120,(t95,t106))),(t122,t15)),(t135,t12)),(t79,t89)))),t123))"
