n,r,network_nr,network,gene_tree
80,20,120,"((((i)#D,(v1,q)))#N,((((y1)#L,((t2,i1),c2)),((#N,(((w)#F,m),x)),((((o1,((b3)#S,(c,(m2,(#S,h1))))),d1))#J,s2))),((((g,(((((((a2,((f2)#M,(((((a3)#O,(t,(o2,((((b,d),a1),(#L,((n1)#C,(#J,k)))),(v,u2))))),((n,g2),(y,s1))))#A,y2))),d2),(((p2,((h2)#H,e2)))#B,((l1)#P,r))))#G,w1))#E,o)),((e)#R,z2)),((((l)#Q,(#F,q1)),((p1)#I,a)),i2)),((((j,(#G,(#I,q2))),(#Q,((((s)#K,(b2,b1)),(#O,(r1,(#D,u1)))),(k1,((z1,m1),((#R,(#P,(e1,w2))),j2)))))),(#A,((h,j1),((v2)#T,((((c1,t1),f),(#H,u)),((#T,(#E,(p,x2))),(f1,(r2,k2)))))))),(((l2,z),n2),(#C,((#B,(#M,(#K,x1))),g1)))))))","(((((((u1,x1),((p1,i),((g1,k1),((b1,v),a2)))),(m,b)),(t1,(u2,(y2,(a,j1))))),((i1,(q1,(d2,w1))),((((e2,z),a3),((p,g2),(e1,(a1,q2)))),((k,(((s1,y),(b2,g)),(((n,w2),o2),(r,(d,v2))))),(((l2,(u,j2)),s),c))))),((((o1,(c1,(m2,k2))),r2),i2),(((((l,(e,f2)),(n2,(h1,d1))),(((((f1,y1),m1),(h,((f,x),t))),o),((l1,h2),z1))),s2),((((t2,(c2,(q,b3))),n1),z2),((j,x2),((v1,w),p2)))))),r1)"
80,20,121,"(((((((b1)#R,(s2,((i2,c2),q))),((((r,t1),v1))#O,((n)#N,((((d1,((j1)#D,a2)),(#D,((b3)#B,p2))))#G,((i1,((z1)#E,((e2)#Q,s1))),e1))))),((g,(((m2,l2))#T,(#G,n1))),w2)))#I,(((((t,(u2,l)),(b,k1)),((#T,(#R,(k,y1))),((i)#J,h1))),((((((j,a1),(((y,z2))#M,(x,((((t2)#C,r2))#K,(h2,k2))))),(f,((((w1,l1),s))#H,(m,n2)))),(#B,p1)))#P,(#M,(o,(#C,f1))))),((j2,(#E,q1)),(b2,g1)))),((((#K,(#Q,g2)))#L,((((((w,c))#A,(e,(#N,o1))),(((v,((u1)#F,a3)),f2),r1)),(#P,x1)),((h,z),(#O,(((m1)#S,((#F,c1),d2)),(q2,(u,(#L,(#I,y2))))))))),((p,(#H,(a,(o2,v2)))),(#J,(d,(#S,(#A,x2)))))))","((((l,o1),((((c1,t2),((((t,g2),(w2,(b3,z2))),a1),g1)),(((((a2,(y1,d2)),n),e),(p,v)),(o,((s2,a3),(b1,(w,i2)))))),(((((r,z),((h1,l1),(b2,k))),(w1,c)),((d1,(y2,r1)),f1)),((m1,((u2,s1),(q2,(u,k2)))),((x,(((z1,d),(((m,n1),k1),t1)),q1)),((l2,b),(f2,j1))))))),((s,n2),(c2,(m2,(g,h))))),((((((j,u1),(y,x1)),(p1,(j2,(h2,o2)))),((p2,v2),((((i1,(x2,f)),q),e2),e1))),((a,r2),i)),v1))"
80,20,122,"((((((((((((q)#Q,a),k1))#S,(((c1)#E,z1),(#S,z))),(g1,h2)))#N,(((((i)#J,y1),e2),m),(((f1,b3),i2),(((g,r2))#A,((((f2)#D,p2),(((k2,u))#T,b2)),r))))),(#A,(q1,(s1,e)))))#K,((((u2,o1))#G,(((s2,v),((d)#R,w1)),((((h1)#O,h))#M,((m2,((a1)#C,((n1)#B,k))),(#D,(u1,((y2)#F,(l1,(v2,z2))))))))),(#F,((t1,t2),(#J,j))))),(#K,((s,((j2)#H,(i1,(o2,(#Q,p))))),((t,((#G,((x2)#L,((#T,v1),q2))),(#H,((((w2,(((#B,c2))#I,(#R,(((l,p1),(#N,w)),((o,a3),(#M,b1)))))))#P,(x1,a2)),(j1,e1))))),(#P,(((((y,r1),(#C,n)),m1),((#L,d1),((l2,n2),(#I,(b,(#E,d2)))))),((c,g2),(#O,(f,x)))))))))","((((a2,w2),(v,a3)),((((k1,u),(v1,(((b1,q),(n2,i2)),p1))),(h1,((((o1,u1),((b,h),x1)),((r1,s1),((((a1,k),(q1,e)),u2),((r2,s2),(q2,s))))),e1))),((j2,x2),(d2,(y,d))))),(((w,(z1,g1)),g2),((c2,((g,(y1,p2)),(((e2,f1),((i1,d1),l2)),(((b2,a),(x,z2)),l)))),((m1,((c1,r),j)),((((m2,(j1,y2)),(v2,o)),f),(((((z,(b3,(n1,(w1,t2)))),(o2,(h2,p))),c),(t1,(i,f2))),((((k2,m),t),n),l1)))))))"
80,20,123,"((((((v)#L,((v1,a1),((c)#I,(s1,(o,k))))))#M,((((((p,((e2)#S,(#I,c2))),(((l)#B,(l1,b3)),(x,(((y1,(((((q1)#J,(((i1)#Q,s2),(#M,m2))),((b1,((t)#P,(((y2,(#J,e)))#O,(h2,n2)))),t2)))#A,r)))#R,j2)))),(((((o1,(((#P,(w,v2)))#G,m1)),q),a2),n1),(((((((u,d),a))#K,((((b2,n),(g1,k2)),(#Q,((t1)#N,(k1,p2)))),(#O,(#K,((l2)#H,(b,((j)#E,((w1)#D,x1)))))))),c1),((f1)#F,(#D,w2))),(a3,p1)))),y))#T,(#R,((d2,((d1,f),(g2,(#T,z2)))),((m)#C,((#S,(o2,h1)),u1)))))),(#A,((((#L,(#N,r2)),u2),(q2,f2)),((z,x2),(#E,(#C,((z1,g),(#B,e1)))))))),(#G,((#F,(s,(#H,(i,h)))),(j1,(r1,i2)))))","((((k,(((t2,(z1,d2)),((n2,((w2,h1),(o,(h2,t1)))),(((b2,(c2,w)),k2),(v2,c1)))),(o2,(q,(p,a1))))),(i1,t)),(u1,((y2,f1),l1))),(((((l2,f2),(g1,j1)),(((j2,(v1,k1)),g2),y)),a),((((((q1,(((a2,c),m),u2)),e),(x2,((x,s),(j,((f,w1),r1))))),n1),((d,(s2,q2)),(v,((x1,z),(g,l))))),((r2,(((m1,h),e2),(s1,(y1,m2)))),(((u,d1),((b,p2),e1)),(((o1,((i,z2),n)),(r,(a3,p1))),(b1,(i2,b3))))))))"
80,20,124,"((((l1,((j)#N,((r1,i2),y))),(((((((c1,j2),((u1)#E,n)))#B,v1),q),((o)#F,m2)),(u2,((((l,r),(y2,y1)))#D,(((((a)#G,((((n2)#M,p2),((((h2,((d,t1),o2)),((((h1,((((((e2,x1),(b,z)),a2),(d1,b3)))#I,d2)),((o1)#Q,((z1)#C,c))))#K,(((#Q,(#B,(#C,((((f1)#T,((s)#H,a3)))#A,e)))))#O,r2))))#R,q2)),(g,(p1,(i1,(k,e1)))))),(#N,(#E,s1))),((g2)#J,(k1,s2))),((#H,u),v2)))))),((x2)#P,(#G,((#R,(#O,f2)),((#I,(b1,((t,f),((v,i),(j1,a1))))),((m1,x),k2)))))),(#A,(((#T,l2),(w,(#F,m))),((h)#L,((c2)#S,((((b2,t2),g1),(((q1,(#K,(#J,p))),w2),(#M,(#S,w1)))),(#D,((#L,(#P,z2)),n1))))))))","((((((t,v),(i2,(k2,(f2,(a2,u1))))),((x2,r2),b)),l),((m1,((((v2,a),l2),(g2,(g1,v1))),((s1,h2),j))),p)),(((((w2,r1),c),((m2,q),z)),((q1,(x1,s2)),(e2,y2))),(((o2,l1),(c2,w)),((n2,t2),(((d,(h,(b3,w1))),(p1,n1)),((((a3,i),(a1,(y,(((o,o1),g),((f1,b1),((k1,q2),(d2,(e1,p2)))))))),(((c1,n),j2),((y1,k),(t1,z1)))),(((u2,u),(((h1,e),(b2,z2)),(((x,i1),(r,j1)),d1))),((f,m),s))))))))"
80,20,125,"(((((((((g2,s1),p),o1),u1))#N,(((o)#J,g1),(((r2,((((z1,((((((((c2,((y1,((a3)#M,(((((m1,m2))#F,f),q),c1))),((((c)#A,q1))#H,k1))),((((j1,a),((r)#Q,l1)),(#H,(u,b1))),n2)))#K,(((((#M,d),(l,t2)),(l2,(b2,s2))),h1),((y2,d2),(i2,u2)))))#T,x2))#P,(x,s))),(k,f2)))#E,k2)))#O,(v,(#Q,i))))))#C,((((p1,(#C,e2)),f1))#L,w2)),((#K,(h2,(((h,w1))#I,(#P,m)))),(((#T,(((j2)#R,x1),(#A,((e)#B,n1)))),((g)#D,(((((#B,(#O,(p2,((v1,(#R,v2)),(#F,(#N,e1)))))))#G,(#E,(j,r1))))#S,(#J,(#S,(y,(q2,(#G,b)))))))),((a2,(#L,(b3,((z,a1),(#I,(i1,n)))))),(((d1,(#D,z2)),t),((w,o2),t1))))))","((((((j,w),z2),(i1,u2)),u1),((((x1,u),(y,b3)),((r,(j2,v1)),(k1,f))),x2)),((((m,(m2,g)),(((r1,e1),((z,p2),c1)),(e2,(p,o)))),(((((h1,(z1,b1)),s1),y1),(n,(s2,t))),((t2,(i,q2)),((d,x),(c,s))))),((((((m1,w1),((g1,r2),(d2,n2))),((o1,k),(i2,((a1,v),o2)))),b2),(((w2,(k2,g2)),l),(((q1,l2),a),((t1,a2),n1)))),((q,(a3,(h2,(e,((v2,(l1,(h,f2))),(b,(p1,f1))))))),((y2,c2),(d1,j1))))))"
80,20,126,"(((((((((a3)#H,(k,a)),b2),(((t2)#C,((d1)#P,(u1,((m2)#A,(((q,(x2,(l1,t1))))#N,y2))))),(p,z))),(f2,((a2)#T,k1))),((((o1,((g1)#B,(c1,r1))))#M,(e,(((#N,((((v2)#I,((((i)#O,((c,v),j2)),((p1)#K,((y,(r2,x1)),((j,((h)#Q,e2)),(((#I,g))#R,s1))))),(s,(#C,o2)))),f),((u2,(j1,q1)),d))))#L,(((#P,(v1,c2)),((((#A,x),((z1)#E,((s2)#J,(w,a1)))),b3),((((w1,z2))#S,(#T,w2)),i1))),l2)))),(((#B,i2))#F,(#M,(b,(#L,(p2,g2))))))),(((#J,n1),(#K,y1)),(((#H,((m,(#R,m1)),(#O,t))))#D,((#F,((o,k2),l)),e1)))),((n2)#G,(#Q,(d2,(h2,n))))),((#G,(u,(#E,b1))),(#S,(f1,(#D,((q2,h1),r))))))","(((e2,(((p1,(h,y2)),(e1,z2)),((v2,h1),((m2,(y,m1)),((m,a2),((n1,b3),h2)))))),((((g,d1),(((r,j),x1),a)),(p2,b1)),(((u1,y1),v1),(u2,c2)))),(((f,z1),((o1,(w1,g1)),(k,((c1,j1),x)))),(((((d,((((x2,f1),z),(q,s2)),(q1,a1))),((l2,b),(l1,v))),((((n2,q2),w),t),(((i1,e),d2),n))),(((g2,(c,(o,i2))),(k1,(s,k2))),(j2,(((u,(i,t1)),(r1,s1)),((r2,b2),a3))))),((f2,p),((w2,t2),(l,o2))))))"
80,20,127,"(((((((l,v),k))#I,(((((d2,i1))#Q,j))#E,((#E,((i2,(n1,r)),s2)),((((y)#S,w))#B,(u1,f2))))),(((o2,a1))#F,(z1,(#I,(l1,((v2)#A,t1)))))),((((p2,m2),z),(#S,(j1,g1))),(((((n2,((((x1)#J,l2),(b2,(((i,r1))#P,g))),k1)))#C,(((((e1,f),f1),h))#N,g2)))#L,x))),(((n,(#Q,((a2)#K,b1))),((c2,(#P,(((p,(#J,(k2,(q,w2)))))#M,c))),((((((r2)#T,d1),((q2)#D,((c1,q1),b))))#H,(p1,(((m1,(#A,(t2,(#K,u)))))#R,o1))),(#D,e)))),((#R,((((t,d),(x2,((y2)#G,u2))),((((j2,(#H,m)),a3))#O,(#O,(v1,e2)))),((#C,(#B,b3)),((h1,((o,s1),((#L,s),(#T,h2)))),((#N,(z2,y1)),a))))),(#M,(#F,(#G,w1))))))","(((((((q,b1),y2),(((z2,h1),k1),z1)),((l2,z),(((i1,i),h2),((o,l),w2)))),(((((m2,a),(s1,(g2,u2))),((t1,j),(u,t2))),(((e2,((x2,x),((n,j2),a3))),p),(w1,y1))),((n1,v),(((r,b2),p1),(((n2,b3),((y,v1),(d,g1))),(w,(((k,(s,p2)),r1),(c2,j1)))))))),((((m,k2),a2),((((f,o1),(e,((f2,(x1,h)),v2))),((s2,q2),((o2,r2),(l1,(q1,b))))),((u1,i2),(d2,g)))),c1)),((t,(m1,(d1,e1))),(a1,(c,f1))))"
80,20,128,"(((((((n2,(k2,((i)#S,q2))),(t,u1)),u2),((((y1)#O,b),(a2,((f1)#T,(m,k)))),((j1)#C,((g1,((q,o),v1)),z2)))),(p,(t1,(#O,((((((((c)#P,d2))#H,r1))#Q,(((b1,u),m1),w1)))#F,d))))))#D,(((((#C,r2))#A,((n,p2),((#F,(a1,c1)),((((k1,(#D,x)),e1))#K,b2)))),((w,(#A,l2)),((m2)#E,((n1)#M,o1)))),(((((t2)#I,(#P,j2)),(#T,((a,((o2)#G,h1)),d1))),(((((#M,(((a3)#R,(v2,b3)),(#K,((((v)#J,f),(q1,g)),(x1,e2))))),(#H,(y,c2))),((z1)#B,((((s,p1),(g2,r)),(y2,h2)),f2))))#N,((#Q,(e,(#J,(#I,(i2,(w2,(#B,(#S,l)))))))),(#N,j)))),(((((#E,h),(x2,s2)))#L,(#R,z)),(#G,(l1,(#L,(s1,i1))))))))","((((((x1,c),((b3,(i2,(e2,j))),(y2,(h1,(i1,r1))))),(((((a2,u2),d2),((u,p),(l1,(j1,(d,w))))),h),(s2,(e,l)))),(((h2,(k,w2)),(((r,u1),x),(g1,(c2,x2)))),(y1,(q,((d1,t),m))))),(((((a3,(r2,o1)),(k2,n2)),((v,(m2,s1)),n1)),(c1,((v2,g),(q2,(s,f1))))),(((a1,(v1,p2)),((o,o2),(a,f2))),((((e1,k1),(l2,z2)),((g2,n),f)),((m1,j2),i))))),((t1,b2),(b,(((y,z),((w1,p1),b1)),(z1,(t2,q1))))))"
80,20,129,"(((((w,k1),((z1)#J,k2)),((((u1)#D,((q1)#P,(#J,e1))),f2),(((((v,((g)#T,g1)))#Q,((v1,h1),t1)))#A,((j,y1),(w2,s))))))#N,((((x,((((f1,((u2)#L,z)),p1))#H,(((b,h),((b3)#E,p)),r2))),(((e,(#H,o1)))#C,((d1,v2),((i2,w1),a2)))),((j1)#R,(((r1,l2),(((c,((((g2)#O,(m2,y)))#B,i1)))#S,((#A,(#N,((#R,m1),(((#C,u))#K,(#O,(q,(o2,a3))))))),(((#E,z2),(((#S,(#P,(r,b1))))#I,x1)),((((a1,((h2)#M,s1)))#F,(((#I,p2))#G,s2)),(x2,(k,(f,(d,l1))))))))),(((#G,e2),(#Q,(#K,b2))),(#D,(o,(#L,((#M,(#B,(a,n1))),(m,l))))))))),(((((c1,(i,q2)),n2),((j2,t),(#T,n))),(#F,(t2,y2))),(c2,d2))))","((((y1,((i,y),((r1,x2),(j,f1)))),((((m,y2),(l,(k1,u))),((((a,s2),((g2,b),((((p1,u1),(h2,h)),(q2,(a3,((z1,d2),(g1,(c,b2)))))),((t1,f),(n1,(t,e2)))))),v2),(s,((((j1,v1),q1),b1),i1)))),((n,(t2,((x,(g,w)),(e,(s1,e1))))),((f2,c2),b3)))),(((k2,(a2,i2)),(x1,((z,u2),l2))),((w1,(r2,d1)),n2))),(((((w2,k),((o,(q,c1)),o2)),j2),(((r,(a1,(m2,z2))),(p,v)),(((p2,d),h1),(l1,m1)))),o1))"
80,20,130,"(((((((x,c),(((((f1,(y,e1)),((((((j2)#C,j1),((x1)#P,i2)),r2))#I,n)),u1))#S,((((k1,t))#T,((((e2,(s,((((x2,(z1,l)),(d1,v1)))#M,a))),((s2)#G,(((#G,(v2,c2)))#E,y2))))#J,l1)),((b3)#A,(#I,g2))))),(i1,u)),s1),((((n2)#D,b2))#O,j)),((((f2,b1),(z,c1)),(((((q,((r)#R,(a2,(((((e)#K,(((k,((#E,a1),(r1,w2))))#F,m1)),(m,(#J,g))))#H,f)))),(#S,o)),((t2)#B,l2)),(#D,(#F,i))),((h,v),(((((#T,(z2,m2)))#Q,p2))#N,(d,(#O,d2)))))),((g1,w),(n1,(t1,y1))))),(#B,((#R,((u2)#L,(((#M,(#N,(#K,o2))),(#H,(a3,h1))),((o1,(h2,q1)),(#Q,b))))),((((#A,w1),(#C,p)),(p1,(#L,k2))),(#P,q2)))))","(((((f2,q2),(g,y1)),((n1,x),((u,g1),u1))),(((j1,(t,q1)),z),o)),((((((((((f,l1),(d1,c)),s1),m1),p),(n,c1)),((l2,(((v1,s),o2),(o1,p2))),(y,(p1,(j,e1))))),d2),((z1,m2),(s2,r))),((v,((h1,u2),(h,c2))),((((((a3,((j2,(r1,a2)),(i2,h2))),(f1,(x2,(n2,i1)))),(d,b3)),(((w1,(k1,w)),(m,b2)),((l,r2),b1))),(((k2,(w2,(i,e2))),b),((a1,((e,x1),((q,(t1,v2)),g2))),(y2,a)))),((k,z2),t2)))))"
80,20,131,"(((((((l2,(k1,((o2)#I,((a3,d2),(r2,(((a,g))#J,l)))))))#M,(#J,(w1,o))))#A,((((((m1)#R,((m,y2),(j2,(c2,z2)))),((((f)#G,y1))#K,(#M,(((p1)#E,((k,(u,y)),((b2)#C,q1))),(#I,((((w2,((z1)#T,(f2,(((#K,(((c1,n1))#Q,((x2)#D,x))))#O,h1)))),z),(r1,h2)),(j1,f1))))))))#F,((a1,((p2)#P,w)),(#A,(((((h)#L,u1))#N,(#Q,c)),((g2,r),(n,((j,(#G,i2)),(e1,(#F,e))))))))),((((d)#B,(u2,(o1,(#L,(q,(v1,v2)))))))#H,(q2,s)))),((((#P,(#D,(#R,m2))),g1),(#E,((((s1)#S,d1),n2),b1))),((#O,(l1,p)),(#C,(#H,((i1,x1),(t,(#T,b)))))))),((k2,(#S,t2)),((((b3,e2),(#B,i)),t1),(#N,((s2,v),a2)))))","(((((o2,q1),(m2,((o,(v1,j)),(q2,(z1,p2))))),((n1,w1),(((b,s),w),a3))),((j2,f1),i1)),(((((b2,m1),(d,w2)),(p,(g1,h))),(((((y,((t2,(r2,y1)),(z,(((e2,k1),u2),(p1,v))))),(a2,(((((i,j1),d1),h2),(k,u)),a))),(f2,(l1,c))),((s1,(c2,b3)),y2)),(((b1,f),e1),((o1,(v2,s2)),((x,n2),(((c1,k2),(x2,m)),l)))))),(((n,((i2,e),((l2,r1),(((u1,a1),(d2,g)),g2)))),(((t,x1),z2),(q,h1))),(r,t1))))"
80,20,132,"(((((((s)#L,(b3,b1)))#H,(((((p,n2),(((e,c))#K,(#H,n))))#C,((s1,((s2)#P,d2)),r1)),(c2,(w,q2)))),(#C,((((d1)#E,u),d),((i)#D,(((g,h1))#O,t2))))))#Q,((((i2,(t,f2)))#M,(l2,((((j,j1),i1))#T,((x1,(#L,x2)),(#Q,(q1,(((((h,y1),(l1,(n1,z2))),o))#G,((e1)#N,(z,b))))))))),(((((#E,(g1,(((k,(((#G,((f1,(#D,((o1)#R,r2))),(a1,v2))))#A,y)))#B,(#K,(m,a3))))))#J,((m1,w1),(k1,(v,z1)))),((b2,((f,v1),o2)),(#T,((#O,((e2,h2),(#B,u1))),(#A,l))))),(#P,(#M,(((#R,y2))#S,(((((((((p1,x),(a,j2)),(q,(#J,a2))))#F,(t1,(p2,(r,u2)))))#I,g2),c1),(#S,(#N,(w2,(#I,(#F,(m2,k2)))))))))))))","(((k2,((w,(((x1,y2),(((b2,p1),h2),j2)),(v,j))),(((((o,i),z1),((a1,s2),(a2,(t1,d)))),((w1,z2),z)),((((s1,((((o1,g1),(p,y1)),c),(e2,(g2,a3)))),(e1,p2)),v1),m2)))),((u,(f1,m)),(q1,t))),(((((d1,((l1,(i2,b3)),a)),((k1,m1),(((n,i1),c1),j1))),(b1,(y,((h,k),((((u2,o2),r1),u1),(q,n1)))))),(((c2,r2),n2),((g,x),((f2,x2),f)))),((((q2,(e,w2)),b),((s,r),(d2,((t2,l),h1)))),(l2,v2))))"
80,20,133,"((((((((k1)#H,(w,s2)))#C,((n2)#M,f1)),(((((r)#G,a))#D,b3),((w1,m2),(((a2)#O,j),y2)))))#L,((#M,q2),(((#G,p2))#B,e))),(((((f,(#H,((c2)#R,u2))),l1),(((((s,((u1)#S,(t2,(#S,y1)))),((l)#N,(j1,(((((t1,(((i1,k2))#I,(e1,r2))),((l2)#T,(m1,b))),(c1,((w2,p),(#L,(x1,((c)#K,b1)))))))#E,m)))),(#K,v)))#F,(a3,(i2,(((((z,h),((#T,z1),u)))#P,p1),((o2)#J,z2)))))),(#R,(r1,(g,q1)))),(#E,((g1)#Q,(((((k)#A,j2),n),(x,b2)),((((n1,(#P,((#Q,f2),((x2,a1),v1)))),(#D,(v2,(#A,(#N,((t,(g2,y)),((#J,((h1,(#I,d2)),q)),(#B,d)))))))),(#F,(#O,(o,(s1,h2))))),(i,(#C,((o1,d1),e2)))))))))","((((((k1,r),y),(((o2,(p1,(d1,u))),z2),(((s,m),w1),((d,z),b3)))),((l1,u1),(e,((d2,f),c1)))),(((j2,p2),k),(f2,k2))),((((((t1,(o1,z1)),g1),(b1,(a,(h2,s2)))),((v,(s1,(n2,f1))),x)),((((c,q2),o),((h,((a3,r1),(p,m2))),((x2,n),b))),g2)),(((((((l2,e1),(i1,q)),b2),(a1,w)),n1),((((((t2,l),(v1,r2)),c2),u2),(i2,((v2,((t,(a2,q1)),j)),((m1,y2),y1)))),((w2,i),h1))),((e2,(j1,g)),x1))))"
80,20,134,"(((((((i1)#Q,d2),(((p1,((b2)#A,a2)))#O,j)),(((((r2,v1),l2),m1),(q2,(k2,w1))),(((((j1,((((((((#A,(((t2,s),o1),(c,(((((r)#I,f1))#N,(((x2,r1))#L,x1)),((c2)#J,((s1)#F,((v2)#D,(#N,b1)))))))),((x)#M,((a1)#P,t1))),(#F,((q,((e1,(p2,n)),((d1,w2),b3))),((((#D,h1))#B,(a3,(k1,(#P,((a)#S,f2))))),(#I,(e,u)))))),(((n1,(((y)#G,u2),o2)),((((g2)#E,s2))#T,h)),((((w,(m,u1)),(l,(v,(#B,z)))),i2),((e2,q1),t)))))#C,(#C,(#J,(#T,(l1,o))))))#R,(#O,j2))),c1),h2),((m2)#H,(#E,y2))),(#Q,(i,(#S,f)))))))#K,(#M,(#R,((n2,d),(g1,g))))),((z2,(#K,((z1,y1),b))),(#G,(#H,((#L,k),p)))))","(((z1,((((t,y2),y1),(((h2,(o1,k1)),w1),i2)),q)),(((p1,h1),x2),v)),(((((a2,((m2,j2),n2)),((g2,((b,k2),w2)),(((l2,(m1,q1)),o2),((u1,((f1,w),e2)),m)))),n),(v2,((a3,(a,p)),((h,(v1,b2)),((j,(b3,f)),(c2,o)))))),(((((((n1,d2),s1),(e,(u,c))),d),((z,(k,d1)),r2)),((t2,(((s2,r),(u2,l1)),(i1,p2))),((((q2,(g1,(g,y))),r1),i),(b1,(a1,c1))))),((((s,x),z2),(t1,(l,x1))),(j1,(e1,f2))))))"
80,20,135,"((((((l1,((((((j,t2))#E,t),((b1,w2),z1)))#F,(w,j2))),v2))#I,(#I,e1)),(((n1,((d)#K,(b,r1))),((t1,(m1,((d1)#M,r2))),(((w1)#T,(((((u2,((k1)#A,(c,v1))),h2),f1))#P,(x2,l))),p1))),k)),(((c1,(r,((m)#O,a1))),((((q)#C,(((v,(#T,s2)))#J,o1)))#R,((q1)#Q,((((((((n,o2),n2),(c2,(h1,o))))#N,e2),(#N,((s1,j1),(#K,((i,(#Q,b3)),((p2)#S,((b2,(((#S,y2))#D,(#F,(#M,i2)))),p))))))))#L,((d2)#G,(s,(((g1)#H,x),z))))))),(((#G,(a3,a)),(((h,(#O,l2)),(#L,(f2,(#E,((g)#B,a2))))),(#B,((#P,(k2,(i1,(#C,(#R,(#H,y1)))))),(((#A,g2),(q2,e)),((y,(#J,(f,u1))),(z2,(u,x1)))))))),(#D,m2))))","(((((p1,m),(d1,(o,s1))),(v,(((h1,b3),(((b2,h2),c2),((g1,x1),(x2,m2)))),((a3,((i1,q2),r1)),(l2,u))))),((((z1,(n1,t1)),u1),u2),((y,q),c))),(((((c1,j),y1),((b,k2),(n2,w))),((l,a1),g2)),(((((k1,r2),g),((d2,j1),q1)),(((k,(o1,(f1,z))),(z2,e1)),(((v1,(w1,i2)),(a2,o2)),((v2,r),(j2,s))))),((((t,p),((i,(n,((w2,e),(f,b1)))),(a,f2))),((e2,t2),(((m1,(h,p2)),l1),y2))),((s2,d),x)))))"
80,20,136,"((((((q2)#B,w2),z2))#O,((((((((c,(g,s2)),(d,(l1,q))),(((e2,(d1,((x2)#K,g1))))#L,((b3)#M,r))),(#L,(j1,(#B,n1)))),((j)#E,t2)),(((i2,b2),(u2,((((((((t,((w)#P,l2)),(#E,(((v2,s1))#T,(x,(e,k1))))),((((m1)#S,((((f2,((n2)#H,(#K,i1))),((((((#H,y2),n),l),r2))#C,(((((c1)#Q,a3))#D,k2),v1))))#G,f)),(((e1,h))#R,(o1,v))),(#D,(a,(#O,(#Q,r1)))))),j2))#A,(#G,o2)))#N,(o,p)))),((y,(#S,b)),((((#C,y1))#I,u1),(t1,m))))),(p1,h1)),(#A,((#P,(d2,w1)),(p2,(((((s,(#M,u)),f1),(#I,(((#R,(g2,h2)))#F,((a2,m2),z1)))),(a1,(k,(#T,((i)#J,b1))))),((q1,z),x1))))))),(#N,(#F,(#J,c2))))","((z2,(((d2,f2),m1),((((z,i2),(t2,k2)),j1),(n1,(g2,y1))))),((((((k1,o),((c1,((b3,c2),(e2,u))),((b,j2),l))),((f1,(p,d1)),(g1,a))),(((t1,i1),((((s1,n2),u2),(k,(q,a1))),v2)),((h2,n),(a2,e1)))),(((d,(((q2,v1),l1),(r2,u1))),(a3,p1)),o2)),((((e,(r,w1)),((((b1,r1),f),(b2,t)),(m2,l2))),s2),(((x,o1),((j,h1),x1)),((((h,p2),((x2,z1),((g,w),(i,y)))),(((q1,m),(w2,c)),s)),(v,y2))))))"
80,20,137,"((((((s1)#S,e2))#O,q1),((((((g)#T,(((e1,((p1)#J,((x2)#D,z))))#B,m)),f),((((k1,n1),((r1,((y)#A,y2)),u2)))#C,(#T,((((u1,a),l),(#O,b3)),((((s2)#Q,((t2,u),z1)))#H,d1))))),r),(((((w2,k),(f1,(#J,(b1,((o2)#F,((v2,w1),n)))))),((((g2)#I,(#B,t)))#E,((((((a2,d),(((o1,j1))#L,((b,j2),(l1,v1)))))#P,((q2,p2),(#D,(n2,i2)))),(((c)#R,(i1,(#P,(#Q,(b2,i))))),(((r2,(((x1,(((#C,a1))#G,h2)))#K,a3)),((o)#M,(#H,(s,y1)))),j))),(f2,(g1,h))))))#N,((m1,(#A,q)),((#F,((k2,m2),v)),((z2,e),(l2,c2))))))),((#E,(#M,(#N,(#S,(((x,t1),d2),(#K,(c1,(#R,(#I,p))))))))),(#G,(#L,(w,h1)))))","((((z1,(u1,j1)),((n,b),(((r2,b1),l),h))),((((((x2,(t1,a2)),(((y2,n1),p2),(s2,(s1,c2)))),(((m2,v),((z2,p),(w2,g2))),((h1,a3),((v1,l1),i2)))),(n2,u2)),s),(((b3,x1),((x,(e2,(r,w1))),((m1,((q1,q),((e,c),(j2,(y,d1))))),i))),((((u,i1),w),e1),a1)))),(((a,l2),o2),((((k2,k1),((r1,(t,m)),(h2,(g,f1)))),((t2,f2),((o,v2),((c1,g1),o1)))),(k,((d2,(j,(b2,p1))),(f,((y1,(z,d)),q2)))))))"
